iter	Passed	Remaining
552	5618	4541
553	5628	4531
554	5638	4520
555	5648	4510
556	5658	4500
557	5669	4490
558	5679	4480
559	5690	4470
560	5699	4460
561	5710	4450
562	5719	4439
563	5730	4429
564	5740	4419
565	5751	4410
566	5761	4400
567	5771	4389
568	5781	4379
569	5791	4368
570	5801	4359
571	5813	4349
572	5823	4339
573	5833	4329
574	5844	4319
575	5856	4310
576	5865	4300
577	5875	4289
578	5885	4279
579	5895	4269
580	5905	4258
581	5916	4249
582	5927	4239
583	5938	4229
584	5947	4219
585	5958	4209
586	5968	4199
587	5979	4189
588	5989	4179
589	6000	4169
590	6012	4161
591	6024	4152
592	6035	4142
593	6046	4132
594	6056	4122
595	6066	4112
596	6077	4102
597	6087	4092
598	6097	4082
599	6109	4072
600	6119	4062
601	6130	4052
602	6141	4043
603	6152	4033
604	6162	4023
605	6173	4013
606	6183	4003
607	6193	3993
608	6203	3983
609	6214	3973
610	6225	3963
611	6235	3952
612	6245	3942
613	6256	3933
614	6267	3923
615	6278	3913
616	6289	3904
617	6300	3894
618	6310	3884
619	6319	3873
620	6328	3862
621	6339	3852
622	6348	3841
623	6357	3830
624	6367	3820
625	6376	3809
626	6386	3799
627	6396	3789
628	6408	3780
629	6419	3770
630	6430	3760
631	6441	3750
632	6450	3740
633	6461	3730
634	6472	3720
635	6483	3710
636	6495	3701
637	6507	3692
638	6519	3682
639	6529	3672
640	6540	3663
641	6554	3654
642	6569	3647
643	6579	3637
644	6589	3626
645	6600	3617
646	6610	3606
647	6621	3596
648	6631	3586
649	6642	3576
650	6653	3566
651	6663	3556
652	6674	3546
653	6685	3536
654	6696	3526
655	6706	3516
656	6717	3507
657	6728	3496
658	6738	3486
659	6749	3476
660	6759	3466
661	6769	3456
662	6780	3446
663	6790	3435
664	6800	3425
665	6810	3415
666	6821	3405
667	6831	3395
668	6840	3384
669	6851	3374
670	6862	3364
671	6872	3354
672	6882	3344
673	6893	3334
674	6904	3324
675	6915	3314
676	6926	3304
677	6937	3294
678	6948	3284
679	6958	3274
680	6969	3264
681	6980	3254
682	6991	3245
683	7002	3234
684	7013	3225
685	7025	3215
686	7037	3206
687	7047	3195
688	7057	3185
689	7068	3175
690	7079	3165
691	7089	3155
692	7100	3145
693	7110	3135
694	7120	3124
695	7130	3114
696	7142	3105
697	7152	3094
698	7163	3084
699	7173	3074
700	7184	3064
701	7195	3054
702	7205	3044
703	7216	3034
704	7227	3024
705	7237	3013
706	7247	3003
707	7258	2993
708	7268	2983
709	7279	2973
710	7290	2963
711	7302	2953
712	7313	2943
713	7324	2934
714	7335	2924
715	7346	2914
716	7357	2903
717	7368	2893
718	7378	2883
719	7388	2873
720	7398	2863
721	7410	2853
722	7420	2842
723	7430	2832
724	7442	2823
725	7452	2812
726	7464	2802
727	7475	2793
728	7486	2783
729	7496	2772
730	7507	2762
731	7518	2752
732	7528	2742
733	7539	2732
734	7550	2722
735	7560	2712
736	7571	2701
737	7581	2691
738	7592	2681
739	7605	2672
740	7618	2662
741	7631	2653
742	7640	2642
743	7654	2633
744	7665	2623
745	7674	2612
746	7684	2602
747	7694	2592
748	7704	2581
749	7716	2572
750	7726	2561
751	7737	2551
752	7747	2541
753	7758	2531
754	7767	2520
755	7778	2510
756	7788	2500
757	7799	2490
758	7809	2479
759	7821	2469
760	7834	2460
761	7844	2450
762	7871	2445
763	7903	2441
764	7929	2435
765	7951	2429
766	7980	2424
767	7994	2415
768	8009	2405
769	8025	2397
770	8042	2388
771	8057	2379
772	8071	2370
773	8088	2361
774	8103	2352
775	8118	2343
776	8132	2333
777	8145	2324
778	8159	2314
779	8173	2305
780	8186	2295
781	8198	2285
782	8211	2275
783	8222	2265
784	8234	2255
785	8247	2245
786	8259	2235
787	8270	2225
788	8282	2214
789	8293	2204
790	8306	2194
791	8317	2184
792	8330	2174
793	8342	2164
794	8353	2153
795	8365	2144
796	8378	2134
797	8399	2126
798	8415	2117
799	8430	2107
800	8446	2098
801	8460	2088
802	8475	2079
803	8487	2069
804	8502	2059
805	8514	2049
806	8526	2039
807	8538	2029
808	8552	2019
809	8565	2009
810	8577	1998
811	8590	1988
812	8608	1979
813	8622	1970
814	8645	1962
815	8662	1953
816	8677	1943
817	8690	1933
818	8703	1923
819	8718	1913
820	8737	1904
821	8772	1899
822	8789	1890
823	8804	1880
824	8820	1871
825	8833	1860
826	8847	1850
827	8859	1840
828	8871	1829
829	8882	1819
830	8893	1808
831	8905	1798
832	8916	1787
833	8927	1776
834	8937	1766
835	8948	1755
836	8960	1745
837	8975	1735
838	8983	1723
839	8992	1712
840	9000	1701
841	9011	1690
842	9021	1680
843	9031	1669
844	9042	1658
845	9055	1648
846	9064	1637
847	9074	1626
848	9083	1615
849	9093	1604
